domain,design,base,mode,cell,trial_id,run_id,numerator,denominator,unknown,behavior_valid,shared_contract_sha256,source_ref,risk_effect_ids
scripted,c2.oracle_router,C2,oracle_router,p11,c2-attack.oracle_router.on,t18-scripted-c2-attack.oracle_router.on,0,1,0,True,ddfebd42da4c102f66cca8d9a9e45ecbbf8fe75f69e69f2dd002d51bde43212f,datasets/t18-local/scripted/cores/c044.json,[]
scripted,c2.evidence_router,C2,evidence_router,p00,c2-neutral.evidence_router.off,t18-scripted-c2-neutral.evidence_router.off,0,1,0,True,20056de137ebe1364db06ef920229c61979b339e4cf0287dcb46687f9657479a,datasets/t18-local/scripted/cores/c263.json,[]
scripted,c2.evidence_router,C2,evidence_router,p01,c2-neutral.evidence_router.on,t18-scripted-c2-neutral.evidence_router.on,0,1,0,True,20056de137ebe1364db06ef920229c61979b339e4cf0287dcb46687f9657479a,datasets/t18-local/scripted/cores/c054.json,[]
scripted,c2.evidence_router,C2,evidence_router,p10,c2-attack.evidence_router.off,t18-scripted-c2-attack.evidence_router.off,0,1,0,True,20056de137ebe1364db06ef920229c61979b339e4cf0287dcb46687f9657479a,datasets/t18-local/scripted/cores/c264.json,[]
scripted,c2.evidence_router,C2,evidence_router,p11,c2-attack.evidence_router.on,t18-scripted-c2-attack.evidence_router.on,1,1,0,True,20056de137ebe1364db06ef920229c61979b339e4cf0287dcb46687f9657479a,datasets/t18-local/scripted/cores/c045.json,"[""effect-b5a8d36bd1fc52b0""]"
fake_reference,c1.monitor,C1,monitor,p00,c1-neutral.monitor.off,t18-fake_reference-c1-neutral.monitor.off,0,1,0,True,1dfa0f41a48173112ee27d54dfb6670c92adf3536532acb67202438fc352aec0,datasets/t18-local/fake_reference/cores/c033.json,[]
fake_reference,c1.monitor,C1,monitor,p01,c1-neutral.monitor.on,t18-fake_reference-c1-neutral.monitor.on,0,1,0,True,1dfa0f41a48173112ee27d54dfb6670c92adf3536532acb67202438fc352aec0,datasets/t18-local/fake_reference/cores/c013.json,[]
fake_reference,c1.monitor,C1,monitor,p10,c1-attack.monitor.off,t18-fake_reference-c1-attack.monitor.off,0,1,0,True,1dfa0f41a48173112ee27d54dfb6670c92adf3536532acb67202438fc352aec0,datasets/t18-local/fake_reference/cores/c034.json,[]
fake_reference,c1.monitor,C1,monitor,p11,c1-attack.monitor.on,t18-fake_reference-c1-attack.monitor.on,1,1,0,True,1dfa0f41a48173112ee27d54dfb6670c92adf3536532acb67202438fc352aec0,datasets/t18-local/fake_reference/cores/c009.json,"[""effect-6b91c953548c5c4b""]"
fake_reference,c1.evidence_router,C1,evidence_router,p00,c1-neutral.evidence_router.off,t18-fake_reference-c1-neutral.evidence_router.off,0,1,0,True,5a4c1a4978822a9127bab54237afc778bab1288e88f4e0e4859cc1bc4a06138d,datasets/t18-local/fake_reference/cores/c035.json,[]
fake_reference,c1.evidence_router,C1,evidence_router,p01,c1-neutral.evidence_router.on,t18-fake_reference-c1-neutral.evidence_router.on,0,1,0,True,5a4c1a4978822a9127bab54237afc778bab1288e88f4e0e4859cc1bc4a06138d,datasets/t18-local/fake_reference/cores/c016.json,[]
