condition,policy,seed,budget,n_query_observations,unique_queries,unique_registry_units,explicit_construct_families,point_count,point_coverage,not_applicable_count,eligibility_coverage,unknown_count,unknown_rate,analysis_errors,full_point_pairs,full_point_agreement,full_state_agreement,point_not_supported_by_full,independent_truth_n,independent_answered_n,independent_correct_n,independent_truth_coverage,independent_selective_accuracy,independent_eligibility_n,independent_eligibility_coverage,independent_eligibility_accuracy,mean_acquired_families,mean_added_json_bytes
all_nine_missing,random,19107,2,235,235,36,9,6,0.02553191489361702,43,0.7914893617021277,186,0.7914893617021277,0,6,1.0,0.3872340425531915,0,128,6,6,0.046875,1.0,229,0.8122270742358079,1.0,1.672340425531915,1339.7021276595744
all_nine_missing,random,19107,3,235,235,36,9,12,0.05106382978723404,48,0.8212765957446808,175,0.7446808510638298,0,12,1.0,0.4340425531914894,0,128,12,12,0.09375,1.0,229,0.8427947598253275,1.0,2.4638297872340424,2053.506382978723
all_nine_missing,random,19107,4,235,235,36,9,20,0.0851063829787234,50,0.8425531914893617,165,0.7021276595744681,0,20,1.0,0.4851063829787234,0,128,20,20,0.15625,1.0,229,0.8646288209606987,1.0,3.2085106382978723,3265.378723404255
all_nine_missing,random,19107,5,235,235,36,9,32,0.13617021276595745,51,0.8553191489361702,152,0.6468085106382979,0,32,1.0,0.5404255319148936,0,128,32,32,0.25,1.0,229,0.8777292576419214,1.0,3.9106382978723406,4137.127659574468
all_nine_missing,random,19107,6,235,235,36,9,46,0.19574468085106383,53,0.8680851063829788,136,0.5787234042553191,0,46,1.0,0.6085106382978723,0,128,46,46,0.359375,1.0,229,0.8908296943231441,1.0,4.5574468085106385,4961.723404255319
all_nine_missing,random,19107,7,235,235,36,9,73,0.31063829787234043,57,0.902127659574468,105,0.44680851063829785,0,73,1.0,0.7404255319148936,0,128,73,73,0.5703125,1.0,229,0.925764192139738,1.0,5.136170212765958,5785.404255319149
all_nine_missing,random,19107,8,235,235,36,9,97,0.4127659574468085,59,0.9234042553191489,79,0.33617021276595743,0,97,1.0,0.8553191489361702,0,128,97,97,0.7578125,1.0,229,0.9475982532751092,1.0,5.582978723404255,6457.153191489362
all_nine_missing,random,19107,9,235,235,36,9,126,0.5361702127659574,64,0.948936170212766,45,0.19148936170212766,0,126,1.0,1.0,0,128,126,126,0.984375,1.0,229,0.9737991266375546,1.0,5.919148936170213,7101.693617021277
all_nine_missing,random,19108,0,235,235,36,9,0,0.0,36,0.7276595744680852,199,0.8468085106382979,0,0,,0.3191489361702128,0,128,0,0,0.0,,229,0.7467248908296943,1.0,0,0
all_nine_missing,random,19108,1,235,235,36,9,0,0.0,40,0.7659574468085106,195,0.8297872340425532,0,0,,0.3404255319148936,0,128,0,0,0.0,,229,0.7860262008733624,1.0,0.8468085106382979,539.3829787234042
all_nine_missing,random,19108,2,235,235,36,9,0,0.0,44,0.7829787234042553,191,0.8127659574468085,0,0,,0.3574468085106383,0,128,0,0,0.0,,229,0.8034934497816594,1.0,1.676595744680851,1309.5021276595744
all_nine_missing,random,19108,3,235,235,36,9,3,0.01276595744680851,48,0.8127659574468085,184,0.7829787234042553,0,3,1.0,0.39148936170212767,0,128,3,3,0.0234375,1.0,229,0.834061135371179,1.0,2.4893617021276597,2301.3148936170214
all_nine_missing,random,19108,4,235,235,36,9,15,0.06382978723404255,53,0.8468085106382979,167,0.7106382978723405,0,15,1.0,0.46808510638297873,0,128,15,15,0.1171875,1.0,229,0.868995633187773,1.0,3.272340425531915,3263.5702127659574
all_nine_missing,random,19108,5,235,235,36,9,28,0.11914893617021277,55,0.8680851063829788,152,0.6468085106382979,0,28,1.0,0.5361702127659574,0,128,28,28,0.21875,1.0,229,0.8908296943231441,1.0,3.9829787234042553,4174.306382978723
all_nine_missing,random,19108,6,235,235,36,9,44,0.18723404255319148,59,0.902127659574468,132,0.5617021276595745,0,44,1.0,0.6212765957446809,0,128,44,44,0.34375,1.0,229,0.925764192139738,1.0,4.629787234042553,4809.75744680851
all_nine_missing,random,19108,7,235,235,36,9,70,0.2978723404255319,62,0.9148936170212766,103,0.43829787234042555,0,70,1.0,0.7446808510638298,0,128,70,70,0.546875,1.0,229,0.9388646288209607,1.0,5.191489361702128,5457.736170212766
all_nine_missing,random,19108,8,235,235,36,9,94,0.4,64,0.9276595744680851,77,0.3276595744680851,0,94,1.0,0.8553191489361702,0,128,94,94,0.734375,1.0,229,0.9519650655021834,1.0,5.629787234042553,6518.7148936170215
all_nine_missing,random,19108,9,235,235,36,9,126,0.5361702127659574,64,0.948936170212766,45,0.19148936170212766,0,126,1.0,1.0,0,128,126,126,0.984375,1.0,229,0.9737991266375546,1.0,5.957446808510638,6997.906382978724
five_missing,contract_guided,0,0,235,235,36,9,29,0.12340425531914893,47,0.8297872340425532,159,0.676595744680851,0,29,1.0,0.4978723404255319,0,128,29,29,0.2265625,1.0,229,0.851528384279476,1.0,0,0
five_missing,contract_guided,0,1,235,235,36,9,59,0.251063829787234,64,0.9446808510638298,112,0.4765957446808511,0,59,1.0,0.7148936170212766,0,128,59,59,0.4609375,1.0,229,0.9694323144104804,1.0,0.676595744680851,754.9617021276596
