cost,split,metric,mechanism,policy,rho,families,observations,reference_point,reference_unknown,reference_not_applicable,correct,wrong,wrong_safe,point,unknown,infeasible,not_applicable,correct_coverage,wrong_rate,wrong_safe_rate,unknown_rate,infeasible_rate,reference_coverage,reference_unknown_rate,reference_not_applicable_rate
C1,development,UEA,ALL,metric_static,0.4,6,336.0,336.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,6.666666666666666,329.0,0.0,0.000992063492063492,0.0,0.0,0.01984126984126984,0.9791666666666666,1.0,0.0,0.0
C1,development,UEA,ALL,metric_static,0.45,6,336.0,336.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,11.666666666666666,324.0,0.0,0.000992063492063492,0.0,0.0,0.034722222222222224,0.9642857142857143,1.0,0.0,0.0
C1,development,UEA,ALL,metric_static,0.5,6,336.0,336.0,0.0,0.0,1.0,0.0,0.0,1.0,15.333333333333332,319.6666666666667,0.0,0.002976190476190476,0.0,0.0,0.04563492063492063,0.9513888888888888,1.0,0.0,0.0
C1,development,UEA,ALL,metric_static,0.55,6,336.0,336.0,0.0,0.0,2.333333333333333,0.0,0.0,2.333333333333333,19.666666666666664,314.0,0.0,0.006944444444444444,0.0,0.0,0.05853174603174603,0.9345238095238095,1.0,0.0,0.0
C1,development,UEA,ALL,metric_static,0.6,6,336.0,336.0,0.0,0.0,7.333333333333333,0.0,0.0,7.333333333333333,25.666666666666664,303.0,0.0,0.021825396825396824,0.0,0.0,0.0763888888888889,0.9017857142857143,1.0,0.0,0.0
C1,development,UEA,ALL,metric_static,0.65,6,336.0,336.0,0.0,0.0,13.0,0.0,0.0,13.0,26.666666666666664,296.3333333333333,0.0,0.03869047619047619,0.0,0.0,0.07936507936507936,0.8819444444444444,1.0,0.0,0.0
C1,development,UEA,ALL,metric_static,0.7,6,336.0,336.0,0.0,0.0,23.0,0.0,0.0,23.0,46.0,267.0,0.0,0.06845238095238095,0.0,0.0,0.13690476190476192,0.7946428571428572,1.0,0.0,0.0
C1,development,UEA,ALL,metric_static,0.75,6,336.0,336.0,0.0,0.0,29.0,0.0,0.0,29.0,44.0,263.0,0.0,0.08630952380952381,0.0,0.0,0.13095238095238096,0.7827380952380952,1.0,0.0,0.0
C1,development,UEA,ALL,metric_static,0.8,6,336.0,336.0,0.0,0.0,39.0,0.0,0.0,39.0,38.0,259.0,0.0,0.11607142857142858,0.0,0.0,0.11309523809523808,0.7708333333333334,1.0,0.0,0.0
C1,development,UEA,ALL,metric_static,0.85,6,336.0,336.0,0.0,0.0,80.66666666666666,0.0,0.0,80.66666666666666,47.0,208.33333333333334,0.0,0.24007936507936506,0.0,0.0,0.13988095238095238,0.6200396825396826,1.0,0.0,0.0
C1,development,UEA,ALL,metric_static,0.9,6,336.0,336.0,0.0,0.0,152.0,0.0,0.0,152.0,57.333333333333336,126.66666666666667,0.0,0.45238095238095244,0.0,0.0,0.17063492063492064,0.376984126984127,1.0,0.0,0.0
C1,development,UEA,ALL,metric_static,0.95,6,336.0,336.0,0.0,0.0,194.0,0.0,0.0,194.0,69.0,73.0,0.0,0.5773809523809523,0.0,0.0,0.20535714285714288,0.21726190476190477,1.0,0.0,0.0
C1,development,UEA,ALL,metric_static,1.0,6,336.0,336.0,0.0,0.0,336.0,0.0,0.0,336.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
