phase,run_id,artifact_id,depth,expected_depth,match,paths,truncated
f,run-cc3a55092fd41e4a3f3d9056,artifact-32dd73534630107d,2,2,True,5,False
f,run-cc3a55092fd41e4a3f3d9056,artifact-a2c623bd2f464512,2,2,True,7,False
f,run-cc3a55092fd41e4a3f3d9056,artifact-35131c4634e3e8c6,2,2,True,7,False
f,run-b49ace27c5352f761ed7e3f0,artifact-64821b750f3a0030,2,2,True,3,False
f,run-b49ace27c5352f761ed7e3f0,artifact-48fc316c7cd53675,0,0,True,1,False
f,run-b49ace27c5352f761ed7e3f0,artifact-63a45a2783d1fff4,4,4,True,11,False
f,run-b49ace27c5352f761ed7e3f0,artifact-2ff2d96312372db9,2,2,True,5,False
f,run-b49ace27c5352f761ed7e3f0,artifact-474bebdaf0764cb5,2,2,True,7,False
f,run-b49ace27c5352f761ed7e3f0,artifact-b1b3bcc7c9237055,2,2,True,7,False
f,run-a6f1f35af6e95e90e75cafe2,artifact-100263ab1d2da264,2,2,True,3,False
f,run-a6f1f35af6e95e90e75cafe2,artifact-33d366e8e1f47e78,0,0,True,1,False
f,run-a6f1f35af6e95e90e75cafe2,artifact-4121523509a56c63,4,4,True,11,False
f,run-a6f1f35af6e95e90e75cafe2,artifact-467612dd3b797a92,2,2,True,5,False
f,run-a6f1f35af6e95e90e75cafe2,artifact-eb179ddc2ce056f7,2,2,True,7,False
f,run-a6f1f35af6e95e90e75cafe2,artifact-0042ad57599ea6d6,2,2,True,7,False
